DP,DPMP,MPIO_NAREA,AÑO_CREACION
15,15759,208.30587404,1552
15,15761,58.79505007,1756
15,15762,47.84502378,1978
15,15763,285.29380791,1794
15,15764,55.75775305,1978
15,15774,182.70313713,1809
15,15776,103.50533623,1556
15,15778,41.12701065,1754
15,15790,209.69811173,1778
15,15798,45.86408254,1754
15,15804,121.83265484,1777
15,15806,93.75675416,1708
15,15808,79.7514018,1660
15,15810,71.94767125,1968
15,15814,168.25186277,1767
15,15816,101.44312446,1857
15,15820,33.62952821,1794
15,15822,196.04606101,1796
15,15832,29.22130806,1962
15,15835,79.70660436999999,1537
15,15837,165.33038307,1725
15,15839,122.00950202,1849
15,15842,146.0853498,1780
15,15861,160.01150448,1777
15,15879,62.58114464,1787
15,15897,251.50506514,1765
17,17001,441.00165521,1849
17,17013,475.73266398,1808
17,17042,209.14267671,1882
17,17050,149.5767563,1855
17,17088,113.34668528,1911
17,17174,109.37265837,1930
17,17272,192.60136678,1873
17,17380,549.23634105,1923
17,17388,88.6003592,1969
17,17433,197.91188654,1888
17,17442,36.88602204,1537
17,17444,90.33303734,1924
17,17446,376.95952271,1887
17,17486,369.34275305,1844
17,17495,227.5466889,1999
17,17513,257.12020167,1934
17,17524,112.230143,1913
17,17541,498.54510758,1911
17,17614,384.1694705,1846
17,17616,89.8893734,1916
17,17653,388.08933444,1825
17,17662,758.17528641,1908
17,17665,60.94262259,1997
17,17777,121.61157198,1540
17,17867,558.88528479,1907
17,17873,455.0658332,1852
17,17877,112.90636922,1951
18,18001,2547.63753226,1912
18,18029,414.12207019,1985
18,18094,1191.61857163,1950
18,18150,12785.6187892,1985
18,18205,403.35824943,1985
18,18247,1106.0761511,1967
18,18256,1234.73414492,1967
18,18410,1701.06142971,1955
18,18460,1220.57599924,1985
18,18479,462.47959066,1985
18,18592,4146.39715969,1967
18,18610,1304.76900624,1985
18,18753,17464.6343678,1950
18,18756,42312.7836103,1985
18,18785,476.93147286,1996
18,18860,1330.21001503,1985
19,19001,480.17974332,1537
19,19022,236.7148308,1799
19,19050,775.78782612,1967
19,19075,413.21119743,1967
19,19100,797.8202555399999,1793
19,19110,435.02879869,1851
19,19130,552.27861171,1824
19,19137,354.73865334,1746
19,19142,266.56458831,1543
19,19212,325.91558067,1868
19,19256,2739.59890644,1914
19,19290,56.65263631,1993
19,19300,98.865802,2006
19,19318,2567.94927079,1915
19,19355,866.31206859,1885
19,19364,234.44755746,1915
19,19392,208.35441987,1915
19,19397,516.0748807,1915
19,19418,3367.56736383,1911
19,19450,697.98138533,1915
19,19455,189.68431355,1899
19,19473,511.47772753,1915
19,19513,69.68342538,1967
19,19517,1793.14388826,1907
19,19532,755.29108288,1907
19,19533,1104.75169652,1996
19,19548,181.26962982,1907
19,19573,109.12329128,1912
19,19585,848.32330826,1915
19,19622,169.0917445,1844
19,19693,419.03490454,1915
19,19698,518.19747613,1863
19,19701,3619.37102599,1915
19,19743,680.9915665,1908
19,19760,515.94418589,1936
19,19780,392.38570876,1989
19,19785,135.87329611,1999
19,19807,201.29270219,1535
19,19809,2057.70619339,1915
19,19821,492.14116839,1815
19,19824,404.47045945,1915
19,19845,81.62162048,1998
20,20001,4185.7918013,1915
20,20011,877.66663962,1914
20,20013,1753.09250676,1958
20,20032,637.90277265,1984
20,20045,1225.40113276,1977
20,20060,586.20917207,1979
20,20175,1376.42532217,1892
20,20178,1114.48037122,1888
20,20228,915.1712714,1965
20,20238,956.4508359,1971
20,20250,813.9328212200001,1979
20,20295,326.88059474,1929
20,20310,73.00612174,1915
20,20383,802.87211404,1916
20,20400,755.90675861,1979
20,20443,136.78208517,1980
20,20517,531.84299144,1968
20,20550,423.38737311,1983
20,20570,743.8018203,1997
20,20614,549.43802067,1913
20,20621,1073.10115197,1935
20,20710,550.21154775,1976
20,20750,645.99944462,1983
20,20770,993.29124301,1983
20,20787,513.29849259,1915
23,23001,3136.58704395,1923
23,23068,1964.83882082,1923
23,23079,834.92703813,1969
23,23090,420.03970139,1978
23,23162,290.84433337,1923
23,23168,324.00306947,1927
23,23182,626.18713046,1923
23,23189,641.23960727,1923
23,23300,88.26853651,1997
23,23350,287.04371714,1997
23,23417,950.9942893800001,1739
23,23419,366.06479027,1963
23,23464,158.76277337,1963
23,23466,1551.16600939,1954
23,23500,203.17288025,1978
23,23555,1140.62303334,1955
23,23570,849.27988741,1957
23,23574,411.04173093,1961
23,23580,1647.3563643,1980
23,23586,117.73425289,1963
23,23660,964.81454114,1834
23,23670,206.77031991,1923
23,23672,207.49037215,1929
23,23675,315.97198331,1945
23,23678,446.82063435,1923
23,23682,525.65028225,2007
23,23686,445.49118008,1931
23,23807,4937.72293616,1948
23,23815,106.38050651,2007
23,23855,919.2591995499999,1959
25,25001,85.7453277,1963
25,25019,50.83509982,1903
25,25035,123.95549005,1864
25,25040,120.95234711,1882
25,25053,142.45996723,1886
25,25086,176.84598708,1853
25,25095,61.0461936,1772
25,25099,102.31988131,1700
25,25120,421.83959263,1963
25,25123,53.45261554,1982
25,25126,51.27563121,1537
25,25148,615.66759762,1560
25,25151,111.50681966,1600
25,25154,298.54906407,1857
25,25168,172.02672254,1700
25,25175,80.15804066,1700
25,25178,150.54955403,1852
25,25181,212.42009623,1700
25,25183,300.19389865,1810
25,25200,132.88038205,1604
25,25214,53.67739272,1638
25,25224,109.84017355,1700
25,25245,118.27964495,1653
25,25258,134.09099836,1903
25,25260,87.21297255,1997
25,25269,158.0207331,1600
25,25279,460.17535188,1593
25,25281,111.20354527,1900
25,25286,67.75368967999999,1537
25,25288,77.46122837999999,1638
25,25290,193.95287674,1771
25,25293,384.9970873,1814
25,25295,43.05740685,1700
25,25297,258.86202298,1593
25,25299,107.68679831,1903
25,25307,130.15534622,1852
25,25312,60.70497778,1995
25,25317,170.17330358,1700
25,25320,763.67586395,1644
25,25322,360.58852085,1700
25,25324,90.95220286999999,1794
25,25326,252.36806197,1593
25,25328,61.87344864,1845
25,25335,222.81782658,1980
25,25339,453.22549053,1887
25,25368,221.86018197,1879
25,25372,343.82555376,1868
25,25377,326.50993553,1772
25,25386,148.19873476,1794
25,25394,190.7906933,1563
25,25398,128.47071695,1825
25,25402,155.43755745,1605
25,25407,155.6303769,1780
25,25426,229.20747739,1765
25,25430,119.58191688,1834
25,25436,107.90651222,1800
25,25438,1196.74948999,1794
25,25473,105.93888875,1861
25,25483,55.16262691,1899
25,25486,98.36503989000001,1778
25,25488,224.73208637,1899
25,25489,59.49982456,1904
25,25491,68.93823303000001,1735
25,25506,122.20331678,1951
25,25513,402.62677712,1604
25,25518,173.63571119,1856
25,25524,71.69758308999999,1773
25,25530,885.53370336,1981
25,25535,271.71161198,1887
25,25572,515.94145456,1935
25,25580,197.68788457,1800
25,25592,79.85642952000001,1857
25,25594,137.83551298,1900
25,25596,127.71713494,1900
25,25599,121.98690331,1949
25,25612,128.2975197,1968
25,25645,88.56564868,1873
25,25649,247.01261762,1920
25,25653,287.80794531,1782
25,25658,118.74598286,1857
25,25662,314.08727396,1901
25,25718,111.61525364,1799
25,25736,141.14774932,1899
25,25740,122.1326726,1967
25,25743,162.57452807,1948
25,25745,96.7155455,1600
25,25754,187.44595436,1799
25,25758,111.08048922,1653
25,25769,209.21729148,1772
25,25772,173.0689862,1799
25,25777,130.38967354,1872
25,25779,104.15457146,1610
25,25781,64.85053814,1799
25,25785,75.19839528,1761
25,25793,201.86641634,1942
25,25797,51.43734552,1900
25,25799,114.23607382,1749
25,25805,84.75227305,1592
25,25807,56.54739447,1799
25,25815,245.8345215,1799
25,25817,73.24008721,1593
25,25823,143.71079231,1927
25,25839,522.45862443,1846
25,25841,107.09078877,1899
25,25843,102.27688028,1592
25,25845,209.12826861,1899
25,25851,92.08432173,1863
25,25862,144.65077516,1802
25,25867,67.11837694,1853
25,25871,62.96892692,1965
25,25873,226.15993867,1776
25,25875,140.88722611,1799
25,25878,201.3298269,1797
25,25885,956.7832746,1884
25,25898,54.27038247,1899
25,25899,194.82043432,1600
27,27001,3507.12280947,1825
27,27006,797.63756232,1908
27,27025,2050.41671438,1958
27,27050,421.56667641,1997
27,27073,807.45420576,1857
27,27075,895.29847091,1962
27,27077,3479.25484894,1934
27,27099,3630.65458604,1960
27,27135,380.49573095,1994
27,27150,3180.69457893,2000
27,27160,423.35406736,2000
27,27205,467.71740478,1878
27,27245,830.18092904,1883
27,27250,4134.97895532,1993
27,27361,1879.96677361,1903
27,27372,1252.15064599,1956
27,27413,842.90904894,1955
27,27425,1812.93290111,1999
27,27430,1372.04441067,1999
27,27450,660.5583616599999,2000
27,27491,944.33194813,1857
27,27495,704.08794484,1917
27,27580,325.10858975,2000
27,27600,698.95677901,1999
27,27615,7607.55093003,1943
27,27660,1582.20973626,1948
27,27745,1580.67425506,1956
27,27787,714.82821081,1821
27,27800,1190.32119604,1979
27,27810,177.75984118,1999
41,41001,1269.82716707,1612
41,41006,540.51687453,1898
41,41013,273.73164832,1837
41,41016,795.63062496,1912
41,41020,589.68898703,1924
41,41026,180.97556357,1855
41,41078,786.00202477,1844
41,41132,462.79933783,1912
41,41206,1584.96991787,1886
41,41244,80.4417432,1830
41,41298,606.52117137,1783
41,41306,503.703102,1789
41,41319,249.60733873,1964
41,41349,194.23339809,1884
41,41357,356.51547983,1887
41,41359,370.65656623,1958
41,41378,356.42110062,1959
41,41396,814.65092121,1825
41,41483,131.94003053,1967
41,41503,155.81260716,1963
41,41518,278.31076075,1810
41,41524,884.26636483,1774
41,41530,178.21745571,1984
41,41548,193.66004805,1780
41,41551,630.6659366,1818
41,41615,251.2301651,1888
41,41660,466.64490866,1948
41,41668,1390.43219055,1926
41,41676,339.37958933,1965
41,41770,429.66717384,1842
41,41791,362.81183634,1757
41,41797,367.02538714,1887
41,41799,530.39938957,1836
41,41801,471.73435368,1937
41,41807,185.72708538,1538
41,41872,543.92692149,1795
41,41885,332.91537649,1623
44,44001,3088.71092238,1954
44,44035,546.02655249,2000
44,44078,800.94176484,1935
44,44090,1749.97806851,1995
44,44098,231.87284126,1995
44,44110,242.18481458,1989
44,44279,473.52241624,1954
44,44378,214.63991721,1994
44,44420,179.59079648,1996
44,44430,1768.71981226,1956
44,44560,1619.65545669,1973
44,44650,1313.68836144,1954
44,44847,7886.05807696,1954
44,44855,246.2746095,1983
44,44874,260.09593663,1888
47,47001,2347.13928928,1525
47,47030,406.3883775,1999
47,47053,1740.83847822,1915
47,47058,1131.74423754,1966
47,47161,177.19613158,1912
47,47170,536.54374061,1974
47,47189,1324.77726918,1876
47,47205,109.48370602,1999
47,47245,814.87333087,1871
47,47258,557.1423770599999,1815
47,47268,262.18227685,1996
47,47288,971.90123504,1945
47,47318,564.49241709,1904
47,47460,842.05095637,2000
47,47541,325.47994473,1908
47,47545,661.56415402,1996
47,47551,1640.4444537,1912
47,47555,1457.33827748,1853
47,47570,675.46864031,1929
47,47605,594.93120048,1814
47,47660,1238.96717389,1999
47,47675,170.47864124,1865
47,47692,437.64556835,1957
47,47703,268.8830035,1909
47,47707,1120.4373424,1918
47,47720,494.70419275,2000
47,47745,970.90464516,1848
47,47798,492.19925738,1923
47,47960,353.276259,2000
47,47980,446.46211795,1999
50,50001,1285.87935359,1840
50,50006,1123.73792942,1960
50,50110,403.81886311,1990
50,50124,913.66250933,1912
50,50150,514.6859666,1961
50,50223,1157.8652462,1960
50,50226,625.0924459,1955
50,50245,277.85164762,1955
50,50251,568.21805564,1976
50,50270,117.34108343,1992
50,50287,570.99121767,1960
50,50313,348.31178758,1956
50,50318,595.7039183099999,1955
50,50325,11949.0284041,1989
50,50330,2280.62999025,1981
50,50350,10839.3339304,1980
50,50370,6437.20868907,1990
50,50400,815.42633461,1981
50,50450,1242.93551683,1989
50,50568,17250.0831663,1969
50,50573,6913.34657571,1955
50,50577,2535.77420998,1965
50,50590,3428.13356997,1984
50,50606,365.11661,1955
50,50680,807.79479697,1961
50,50683,1169.10460006,1966
50,50686,237.35085216,1981
50,50689,5933.65235467,1958
50,50711,4819.21010773,1969
52,52001,1099.41143362,1540
52,52019,38.61008739,1903
52,52022,47.64054844,1911
52,52036,68.90636196,1544
52,52051,60.18576464,1859
52,52079,2732.9332761,1916
52,52083,41.84540565,1985
52,52110,635.96083273,1899
52,52203,61.75052927,1921
52,52207,119.35363587,1900
52,52210,43.20904594,1871
52,52215,304.63446136,1911
52,52224,57.11859178,1911
52,52227,915.32764146,1913
52,52233,355.16697695,1968
52,52240,146.27176111,1992
52,52250,2490.66932541,1967
52,52254,119.85744434,1998
52,52256,520.29155027,1815
52,52258,306.90261046,1834
52,52260,247.35273444,1870
52,52287,394.76235663,1839
52,52317,155.66689654,1935
52,52320,116.73978241,1676
52,52323,29.96186568,1881
52,52352,80.53153841,1871
52,52354,81.72986498,1849
52,52356,1571.75175458,1799
52,52378,238.84631918,1907
52,52381,136.31292026,1988
52,52385,244.99828389,1989
52,52390,415.90904779,1988
52,52399,142.15237731,1945
52,52405,310.42044583,1924
52,52411,135.6634468,1871
52,52418,956.86953807,1911
52,52427,1808.09579936,1837
52,52435,569.04545354,1926
52,52473,768.05222911,1874
52,52480,25.3128147,1999
52,52490,1003.1174455,1975
52,52506,64.8432117,1865
52,52520,525.1840158799999,1971
52,52540,434.34130939,1972
52,52560,388.29955759,1571
52,52565,39.94762088,1992
52,52573,350.14397612,1881
52,52585,129.65979837,1871
52,52612,1055.73278102,1881
52,52621,1457.71594318,1937
52,52678,605.04394486,1864
52,52683,101.61251434,1868
52,52685,65.16451438999999,1992
52,52687,249.14358916,1886
52,52693,111.85964388,1773
52,52694,55.64727657,1989
52,52696,1224.57560616,1966
52,52699,540.63261385,1913
52,52720,115.54851072,1849
52,52786,234.65783497,1834
52,52788,217.95976613,1874
52,52835,3611.51083314,1800
52,52838,216.27234926,1938
52,52885,102.73515616,1750
54,54001,1133.52594601,1972
54,54003,1382.44975629,1806
54,54051,456.14898855,1835
54,54099,170.26704427,1826
54,54109,270.79085907,1838
54,54125,138.92219018,1630
54,54128,615.81990466,1911
54,54172,166.25413881,1775
54,54174,1185.17804104,1808
54,54206,931.92135593,1829
54,54223,374.91054548,1834
54,54239,175.0128162,1911
54,54245,1727.74295841,1910
54,54250,704.10028661,1990
54,54261,505.30409734,1959
54,54313,149.0239078,1864
54,54344,419.00493416,1930
54,54347,106.95802481,1911
54,54377,256.03978606,1730
54,54385,669.89943971,1993
54,54398,242.21466725,1930
54,54405,127.58813309,1985
54,54418,86.58733641000001,1925
54,54480,158.80967491,1943
54,54498,522.5999579,1570
54,54518,298.29409051,1555
54,54520,170.93089437,1913
54,54553,44.94540103,1993
54,54599,97.72577789,1877
54,54660,493.91008949,1583
54,54670,398.02195262,1892
54,54673,139.2816488,1773
54,54680,172.53818835,1880
54,54720,1467.70683028,1906
54,54743,316.85540767,1580
54,54800,927.05395631,1817
54,54810,2680.07291457,1977
54,54820,1480.66502911,1886
54,54871,401.05845167,1948
54,54874,90.61902907,1789
63,63001,121.61741615,1889
63,63111,38.45809947,1966
63,63130,220.83628992,1905
63,63190,90.32288746,1907
63,63212,92.97624817000001,1966
63,63272,106.56200975,1878
63,63302,294.93771857,1937
63,63401,89.37974557,1954
63,63470,149.05751226,1914
63,63548,248.58261671,1926
63,63594,133.52035396,1922
63,63690,347.31994862,1908
66,66001,608.16599064,1863
66,66045,149.98051137,1893
66,66075,119.48598487,1923
66,66088,180.60043873,1911
66,66170,70.12886684,1972
66,66318,100.82063905,1921
66,66383,92.47366148,1959
66,66400,32.80121313,1959
66,66440,149.31913742,1915
66,66456,564.7434802,1925
66,66572,613.76781319,1912
66,66594,140.1300619,1917
66,66682,543.49262961,1844
66,66687,190.86402368,1906
68,68001,152.91568607,1623
68,68013,75.23124792,1775
68,68020,166.21696603,1919
68,68051,169.79155179,1750
68,68077,46.66488698,1936
68,68079,137.2758117,1799
68,68081,1326.83830229,1922
68,68092,431.24870865,1874
68,68101,1010.1258607,1844
68,68121,65.57430936999999,1869
68,68132,45.01345975,1905
68,68147,85.28406397000001,1804
68,68152,258.94615159,1772
68,68160,107.96710895,1968
68,68162,421.08144251,1775
68,68167,419.23135063,1877
68,68169,126.70625039,1927
68,68176,173.21902206,1707
68,68179,94.93681903,1810
68,68190,3174.28853876,1966
68,68207,337.11991806,1722
68,68209,71.42170043,1887
68,68211,137.17207648,1962
68,68217,577.4957460099999,1932
68,68229,244.22273703,1602
68,68235,924.0326235,1986
68,68245,92.96763011,1963
68,68250,398.21774664,1990
68,68255,454.98192085,1984
68,68264,400.43269142,1899
68,68266,74.81603233,1773
68,68271,176.59965513,1974
68,68276,100.32773906,1817
68,68296,201.73157557,1887
68,68298,608.23306615,1799
68,68307,493.0298875,1631
68,68318,302.39826382,1799
68,68320,146.33070938,1799
68,68322,67.30036397000001,1810
68,68324,83.79545511000001,1899
68,68327,30.15674861,1886
68,68344,169.01757229,1899
68,68368,89.59308516999999,1743
68,68370,39.89917751,1899
68,68377,335.20158172,1974
68,68385,590.2163864,1974
68,68397,284.34697209,1799
68,68406,550.43323732,1899
68,68418,290.12518836,1750
68,68425,102.91750817,1772
68,68432,57.18169557,1542
68,68444,235.74856786,1887
68,68464,483.97012733,1799
68,68468,180.47170201,1709
68,68498,75.22127909,1899
68,68500,286.06674772,1857
68,68502,489.22843694,1887
68,68522,19.69444169,1899
68,68524,58.54111972,1785
68,68533,72.9811189,1768
68,68547,484.57230922,1887
68,68549,55.53541904,1887
68,68572,251.67854824,1762
68,68573,762.34460068,1980
68,68575,1507.9862462,1887
68,68615,1168.43222332,1899
68,68655,1402.8700085,1973
68,68669,281.5588552,1887
68,68673,59.11302218,1899
68,68679,146.87727411,1887
68,68682,143.13342696,1899
68,68684,75.30374322999999,1900
68,68686,71.21134788000001,1799
68,68689,1116.36060506,1895
68,68705,221.21709441,1976
68,68720,373.85726248,1975
68,68745,904.71295485,1799
68,68755,127.8258349,1683
68,68770,285.19553397,1699
68,68773,522.53920084,1892
68,68780,363.00877434,1899
68,68820,330.72628373,1822
68,68855,81.11493889,1762
68,68861,447.6767281,1539
68,68867,92.42238639,1983
68,68872,97.60691327000001,1966
68,68895,364.4185511,1743
70,70001,279.97294538,1966
70,70110,146.49809594,1968
70,70124,412.46980712,1914
70,70204,131.16269241,1907
70,70215,285.89446074,1876
70,70221,56.55515347,2002
70,70230,83.71001483000001,1968
70,70233,198.43440202,1998
70,70235,321.85642596,1968
70,70265,361.8676371,1984
70,70400,232.35039472,1968
70,70418,198.8844424,1968
70,70429,845.15861198,1938
70,70473,170.01489701,1855
70,70508,460.04836197,1899
70,70523,174.57019535,1840
70,70670,213.93770069,1931
70,70678,1494.16295579,1799
70,70702,168.17557244,1968
70,70708,970.35481214,1865
70,70713,1035.07899305,1899
70,70717,212.9948174,1939
70,70742,418.97976977,1899
70,70771,1131.18019269,1849
70,70820,302.51669186,1899
70,70823,285.01589128,1899
73,73001,1377.25137736,1906
73,73024,501.5113202,1887
73,73026,344.33559262,1540
73,73030,238.04483788,1627
73,73043,469.71132542,1915
73,73055,440.63084363,1908
73,73067,1017.64443733,1887
73,73124,508.49091081,1913
73,73148,190.83613055,1887
73,73152,175.29617919,1896
73,73168,2102.06323602,1586
73,73200,343.59810611,1887
73,73217,669.055687,1778
73,73226,507.51528262,1887
73,73236,651.95039954,1883
73,73268,216.49894583,1783
73,73270,181.32221342,1930
73,73275,96.79717451,1949
73,73283,219.66147916,1857
73,73319,505.74382712,1771
